TOP TEN GAMES,,,,,
Viewers,TV + Streaming,Away,Home,Date,Network
,(1.897M),Texas,TCU,11/4/2017,ESPN
,(1.738M),College Gameday,From Oklahoma-Okla. St.,11/4/2017,ESPN
986K,,Oregon,Washington,11/4/2017,FS1
,(876K),Iowa St.,W. Virginia,11/4/2017,ESPN2
,(793K),Florida,Missouri,11/4/2017,ESPN2
,(758K),Navy,Temple,11/2/2017,ESPN
,(683K),Memphis,Tulsa,11/3/2017,ESPN2
563K,,UCLA,Utah,11/3/2017,FS1
540K,,K-State,Texas Tech,11/4/2017,FS1
,(369K),UCF,SMU,11/4/2017,ESPN2
,(324K),BYU,Fresno St.,11/4/2017,ESPN2
,(276K),Miami (Ohio),Ohio,10/31/2017,ESPN2
,(216K),C. Michigan,W. Michigan,11/1/2017,ESPN2
,(156K),No. Illinois,Toledo,11/2/2017,ESPNU
,(143K),Nevada,Boise St.,11/4/2017,ESPNU
,(130K),Idaho,Troy,11/2/2017,ESPNU
,(83K),SDSU,SJSU,11/4/2017,ESPNU
,(82K),WKU,Vanderbilt,11/4/2017,ESPNU
,(74K),USF,UConn,11/4/2017,ESPNU
,(70K),Bowl. Green,Kent State,10/31/2017,ESPNU
n.a.,,UTEP,Mid. Tenn. St.,11/4/2017,beIN
9.868M,(9.972M),Penn State,Ohio State,10/28/2017,FOX
3.464M,(3.550M),GT,CLEM,10/28/2017,ABC
,,TTU,OU,10/28/2017,
3.380M,,Georgia,Florida,10/28/2017,CBS
3.365M,,Oklahoma State,W. Virginia,10/28/2017,ABC
2.850M,,TCU,Iowa St.,10/28/2017,ABC
,,UCLA,Washington,10/28/2017,
2.625M,,N.C. State,Notre Dame,10/28/2017,NBC
,(1.927M),Wisconsin,Illinois,10/28/2017,ESPN
,(1.812M),College Gameday,From Ohio St.-Penn St.,11/4/2017,ESPN
,(1.640M),Mississippi St.,Texas A&M,10/28/2017,ESPN
,(1.419M),Miami,UNC,10/28/2017,ESPN2
,(1.397M),FSU,Boston College,10/27/2017,ESPN
,(1.381M),USC,Arizona St.,10/28/2017,ESPN
,(1.162M),Stanford,Oregon St.,10/26/2017,ESPN
,(1.117M),Michigan St.,Northwestern,10/28/2017,ESPN
769K,,Minnesota,Iowa,10/28/2017,FS1
,(645K),ABC reverse mirror,,10/28/2017,ESPN2
,(601K),Texas,Baylor,10/28/2017,ESPNU
,(365K),ABC reverse mirror,,10/28/2017,ESPN2
323K,,K-State,Kansas,10/28/2017,FS1
,(225K),Tulsa,SMU,10/27/2017,ESPN2
,(177K),Houston,USF,10/28/2017,ESPNU
,(130K),So. Alabama,Ga. State,10/26/2017,ESPNU
,(82K),New Mexico,Wyoming,10/28/2017,ESPNU
6.954M,(7.090M),Michigan,Penn State,10/21/2017,ABC
4.446M,,Tennessee,Alabama,10/21/2017,CBS
3.829M,(3.923M),Oklahoma St.,Texas,10/21/2017,ABC
3.501M,(3.547M),Indiana,Michigan St.,10/21/2017,ABC
3.000M,,Oklahoma,K-State,10/21/2017,FOX
2.988M,,USC,Notre Dame,10/21/2017,NBC
,(2.580M),Louisville,FSU,10/21/2017,ESPN
,(2.093M),Syracuse,Miami,10/21/2017,ESPN
,(1.891M),LSU,Mississippi,10/21/2017,ESPN
,(1.842M),College Gameday,From Michigan-Penn St.,10/21/2017,ESPN
1.495M,,Maryland,Wisconsin,10/21/2017,FOX
,(1.392M),Colorado,Washington St.,10/21/2017,ESPN
1.191M,,Kansas,TCU,10/21/2017,FOX
,(813K),Iowa,Northwestern,10/21/2017,ESPN2
,(565K),Memphis,Houston,10/19/2017,ESPN
,(546K),North Carolina,Va. Tech,10/21/2017,ESPN2
,(453K),Marshall,Mid. Tenn.,10/20/2017,ESPN2
,(414K),Wyoming,Boise St.,10/21/2017,ESPN2
,(391K),Colorado St.,New Mexico,10/20/2017,ESPN2
387K,,Arizona St.,Utah,10/21/2017,FS1
325K,,W. Virginia,Baylor,10/21/2017,FS2
307K,,Iowa St.,Texas Tech,10/21/2017,FS1
,(284K),USF,Tulane,10/21/2017,ESPN2
,(200K),Wake Forest,Ga. Tech,10/21/2017,ESPNU
,(102K),SMU,Cincinnati,10/21/2017,ESPNU
,(72K),UL-Lafayette,Ark. State,10/19/2017,ESPNU
,(70K),Tulsa,UConn,10/21/2017,ESPNU
n.a.,,UAB,Charlotte,10/21/2017,beIN
4.122M,(4.210M),Michigan,Indiana,10/14/2017,ABC
,(3.866M),Arkansas,Alabama,10/14/2017,ESPN
,(3.619M),Oklahoma,Texas,10/14/2017,ESPN
3.595M,,Auburn,LSU,10/14/2017,CBS
3.380M,(3.441M),Ga. Tech,Miami,10/14/2017,ABC
